,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.5333888492356313,0.4773489500459907,0.48545064567362933,0.05237385794969911,0.30229194926671704,R
1,0.1644422323199187,0.5167153284771695,0.5448770586625152,0.5004410603843776,0.4699062577737425,R
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,0.2301119607588548,0.10855885279313265,0.5645104616913852,0.3468866474464592,0.5337955433006724,R
30,0.8067837883570499,0.5551838283376114,0.8620466131426243,0.7543466737978488,0.5531024340902888,M
31,0.05988064224610815,0.43771472405998346,0.4439129891712768,0.3737018454050952,0.5211478723456332,R
32,0.5261301631555366,0.7463679397928125,0.8862010152975097,0.8429869163007246,0.4840144619676424,M
33,0.5804913471393071,0.8908176220227274,0.9144886387385025,0.6026883777756696,0.6648848534501338,M
34,0.6164394511800738,0.986204747566997,0.5372068718960995,0.6673824864985296,0.688171790032106,M
35,0.4793209234631794,0.43621096594027126,0.09250831612505449,0.07113059271859501,0.14102001760633212,R
36,0.7771110971833658,0.5749800665245066,0.5536834615797293,0.47320407466934616,0.8277626723681603,M
37,0.7326931450559493,0.9778138442702384,0.4782228654439564,0.48974930750702034,0.5525932220256985,M
38,0.8309396116684449,0.5323477324684674,0.42853505111055773,0.8971101654074052,0.9627524315538596,M
39,0.42820484244481644,0.4884428595750342,0.6094095451325812,0.794079284498177,0.6691479741314331,M
40,0.7325906165181391,0.8071414086817039,0.7581788062074333,0.49857954111061853,0.571360105649801,M
41,0.5804834228917392,0.6613421214764625,0.5868923894804718,0.7896030652590307,0.8507452273183969,M
42,0.9243690575989942,0.9111277737090249,0.8152074492575381,0.7242304381190185,0.705521267404059,M
43,0.08219709612770268,0.2832857353751176,0.46720484138775875,0.24411470107636865,0.5493618864546758,R
44,0.41486594507490804,0.9430951691770475,0.952058471412115,0.8712057369637849,0.8123040485389714,M
45,0.5520915613110335,0.6863600680746516,0.6862956517460894,0.8050556342573301,0.6110760579164233,M
46,0.6840222993059821,0.6078499430522857,0.8905859159653318,0.7008076123455682,0.4618425447386484,M
47,0.16188109537642542,0.32304628839630456,0.1061779755002309,0.49681362582401967,0.22567003293370286,R
48,0.7800218395383283,0.4647345071108666,0.49546398785837814,0.5228622882670227,0.6548232215305319,M
49,0.5033405462653863,0.14631855142238176,0.19429584257580765,0.5223318859354461,0.10181084331357718,R
50,0.5680925700025756,0.10088445019195381,0.292918818074159,0.3125132266726921,0.23047484298872523,R
51,0.1938013646955394,0.12950781400084768,0.459039119771003,0.4599509070887492,0.14044691093525122,R
52,0.49704008902791386,0.6235831455191654,0.7394461201987509,0.7942954114189955,0.8032288872544469,M
53,0.2263367070964694,0.04000500307343193,0.4280633365612615,0.1878781859149258,0.39316769659335177,R
54,0.2216606689460355,0.28254974407408895,0.1712147697487932,0.30993769700375134,0.2723367556763662,R
55,0.9277510090453391,0.5364595052073039,0.9951720967665789,0.7906141288797837,0.9472033613083917,M
56,0.7251714169251466,0.4908253109601382,0.47061707792816326,0.5610919424265371,0.7909129648813966,M
